id,County,District,Type,Kindergarteners_with_Vaccination,exempt,value
Ranchwood ES,Canadian,Yukon,Public,95,0.01,0.989
Greenvale ES,Oklahoma,Western Heights,Public,43,0,0.989
Maple Public School,Canadian,Maple,Public,22,0.05,0.989
Chisholm ES (Garfield County),Garfield,Chisolm,Public,87,0.01,0.989
Blackwell ES,Kay,Blackwell,Public,86,0.01,0.988
Henry Zarrow International School,Tulsa,Tulsa,Public,96,0.05,0.988
Woodrow Wilson ES (Stephens County),Stephens,Duncan,Public,53,0,0.988
Ellington ES,Wagoner,Wagoner,Public,187,0.01,0.988
Northwest Heights ES,Bryan,Durant,Public,158,0.01,0.987
Thomas Jefferson ES,Tulsa,Union,Public,77,0.04,0.987
Britton ES,Oklahoma,Oklahoma City,Public,76,0.01,0.987
Jane Phillips ES,Washington,Bartlesville,Public,46,0,0.987
Hinton ES,Caddo,Hinton,Public,36,0,0.986
Emerson ES (Tulsa County),Tulsa,Tulsa,Public,23,0,0.986
Adams ES (Oklahoma County),Oklahoma,Oklahoma City,Public,71,0,0.986
Monte Cassino School,Tulsa,AdvancED,Private,71,0,0.986
Prairie View ES (Canadian County),Canadian,Mustang,Public,107,0,0.986
Alexander ES (Ottawa County),Ottawa,Commerce,Public,69,0,0.986
Oak Crest ES,Tulsa,Broken Arrow,Public,64,0.02,0.984
Owen ES,Tulsa,Tulsa,Public,63,0.02,0.984
Celia Clinton ES,Tulsa,Tulsa,Public,75,0.01,0.984
Millwood ES,Oklahoma,Millwood,Public,60,0.02,0.983
Pocola ES,Le Flore,Pocola,Public,58,0,0.983
Will Rogers ES (Ardmore District),Carter,Ardmore,Public,232,0.01,0.983
Hooker ES,Texas,Hooker,Public,44,0,0.982
Leflore ES,Le Flore,Le Flore,Public,21,0,0.982
Coronado Heights ES,Oklahoma,Putnam City,Public,68,0,0.981
Woodrow Wilson ES (Washington County),Washington,Bartlesville,Public,83,0.01,0.981
Chouteau-Mazie Ec Center,Mayes,Chouteau-Mazie,Public,62,0,0.981
Clinton West ES,Tulsa,Tulsa,Public,78,0,0.981
Healdton ES,Carter,Healdton,Public,22,0.09,0.981
Newkirk ES,Kay,Newkirk,Public,52,0,0.981
Winds West ES,Oklahoma,Western Heights,Public,51,0,0.980
Dual Language Academy,Tulsa,Tulsa,Public,49,0.06,0.980
Salina ES,Mayes,Salina,Public,49,0,0.980
Spiro ES,Le Flore,Spiro,Public,98,0,0.980
Dierks ES,McCurtain,Broken Bow,Public,96,0,0.979
Adams ES (Cleveland County),Cleveland,Norman,Public,101,0,0.979
Krouch ES,Pottawatomie,Tecumseh,Public,143,0.03,0.979
Liberty ES (Liberty District),Tulsa,Liberty,Public,36,0.03,0.979
Jefferson ES (Mayes County),Mayes,Pryor,Public,42,0.02,0.979
Homer ES,Pontotoc,Byng,Public,99,0,0.978
Cross Timbers ES,Oklahoma,Edmond,Public,124,0.04,0.978
L.W. Westfall ES,Oklahoma,Chocktaw-Nicoma Park,Public,48,0.02,0.978
Shidler ES,Oklahoma,Oklahoma City,Public,46,0,0.978
Marlow ES,Stephens,Marlow,Public,126,0.01,0.977
Santa Fe South Early Childhood,Oklahoma,N/A,Charter,86,0,0.977
Little Axe ES,Cleveland,Little Axe,Public,97,0,0.976
Wayside ES,Washington,Bartlesville,Public,85,0.01,0.976
Hulbert ES,Cherokee,Hulbert,Public,36,0,0.976
Central Oak ES,Oklahoma,Crooked Oak,Public,71,0,0.976
Sperry ES,Tulsa,Sperry,Public,83,0,0.976
Central ES (Wagoner County),Wagoner,Coweta,Public,67,0.1,0.975
Bethel ES,Pottawatomie,Bethel,Public,80,0.01,0.975
Homer Long ES,Texas,Guymon,Public,93,0,0.975
Mustang Creek ES,Canadian,Mustang,Public,120,0.03,0.975
Dibble ES,McClain,Dibble,Public,44,0.02,0.974
Liberty ES (Ponca City District),Kay,Ponca City,Public,48,0.02,0.974
Marrs ES,Tulsa,Skiatook,Public,189,0.06,0.974
Hodgen Public School,Le Flore,Hodgen,Public,35,0.03,0.974
Twin Hills Public School,Okmulgee,Twin Hills,Public,38,0,0.974
Porum ES,Muskogee,Porum,Public,37,0,0.973
Glencoe ES,Payne,Glencoe,Public,26,0,0.973
Rivers ES,Jackson,Altus,Public,73,0,0.973
Westville ES,Adair,Westville,Public,73,0.01,0.973
Poteau Primary ES,Le Flore,Poteau,Public,181,0.02,0.972
Calumet ES,Canadian,Calumet,Public,14,0,0.972
Hilldale Lower ES,Muskogee,Hilldale,Public,125,0,0.972
Pioneer-Pleasant Vale ES,Garfield,Pioneer-Pleasant Vale,Public,36,0.03,0.972
Waukomis ES,Garfield,Waukomis,Public,36,0,0.972
Kremlin-Hillsdale ES,Garfield,Kremlin-Hillsdale,Public,19,0,0.972
Surrey Hills ES,Canadian,Yukon,Public,143,0.02,0.972
Prairie View ES (Garfield County),Garfield,Enid,Public,71,0,0.972
Hobart ES,Kiowa,Hobart,Public,73,0.01,0.971
Navajo ES,Jackson,Navajo,Public,35,0,0.971
Centennial ES,Oklahoma,Edmond,Public,151,0.03,0.971
Hoover ES (Tulsa County),Tulsa,Tulsa,Public,60,0.03,0.971
Indianola ES,Pittsburg,Indianola,Public,12,0,0.971
Zion Public School,Adair,Zion,Public,34,0,0.971
Perkins-Tryon ES,Payne,Perkins-Tryon,Public,100,0.01,0.970
ClegernES,Oklahoma,Edmond,Public,44,0.05,0.970
Lowrey Public School,Cherokee,Lowrey,Public,16,0,0.970
Spencer ES,Oklahoma,Oklahoma City,Public,33,0,0.970
William Gay Early Childhood Center,Pittsburg,Mcalester,Public,230,0.03,0.970
Jenks East ES,Tulsa,Jenks,Public,303,0.04,0.969
Jackson ES (Cleveland County),Cleveland,Norman,Public,71,0,0.969
Allen-Bowden Public School,Creek,Allen-Bowden,Public,32,0,0.969
Cleveland ES (Oklahoma County),Oklahoma,Oklahoma City,Public,60,0.07,0.969
Cooper ES,Tulsa,Tulsa,Public,80,0,0.968
Grove ES,Tulsa,Union,Public,61,0.03,0.968
Rhoades ES,Tulsa,Broken Arrow,Public,63,0.03,0.968
ES McMurray ES,Washita,Sentinel,Public,21,0,0.968
Justus-Tiawah Public School,Rogers,Justus-Tiawah,Public,54,0.02,0.968
Hilldale ES,Oklahoma,Putnam City,Public,117,0,0.968
David ES,Murray,Davis,Public,80,0.01,0.968
Bixby North ES,Tulsa,Bixby,Public,154,0.03,0.968
Jay ES,Delaware,Jay,Public,119,0.02,0.967
Marietta ES,Love,Marietta,Public,92,0,0.967
Valliant ES,McCurtain,Valliant,Public,60,0,0.967
Wright City ES,McCurtain,Wright City,Public,30,0,0.967
Covington-Douglas ES,Garfield,Covington-Douglas,Public,15,0,0.966
Davenport ES,Lincoln,Davenport,Public,31,0,0.966
Marshall T. Moore ES,Tulsa,Union,Public,70,0.04,0.966
North Rock Creek Public School,Pottawatomie,North Rock Creek,Public,59,0.02,0.966
Plaza Towers ES,Cleveland,Moore,Public,59,0.02,0.966
Grove Lower ES,Delaware,Grove,Public,189,0.03,0.964
Inola ES,Rogers,Inola,Public,102,0.03,0.964
Kirkland Early Childhood Center,Oklahoma,Putnam City,Public,37,0.03,0.964
Okarche ES,Kingfisher,Okarche,Public,28,0,0.964
Ranch Heights ES,Washington,Bartlesville,Public,83,0.02,0.964
Willow Brook ES,Oklahoma,Oklahoma City,Public,83,0.02,0.964
Central ES (Garvin County),Garvin,Wynnewood,Public,49,0,0.964
Fort Cobb-Broxton Lower ES,Caddo,Fort Cobb-Broxton,Public,16,0,0.964
Fort Towson ES,Choctaw,Fort Townson,Public,22,0,0.963
Gans ES,Sequoyah,Gans,Public,28,0,0.963
Sequoyah ES (Oklahoma County),Oklahoma,Oklahoma City,Public,54,0.04,0.963
Thelma R. Parks ES,Oklahoma,Oklahoma City,Public,27,0,0.963
Wilburton ES,Latimer,Wilburton,Public,54,0,0.963
Mustang Centennial ES,Canadian,Mustang,Public,106,0.01,0.962
Macomb ES,Pottawatomie,Macomb,Public,21,0.05,0.962
Heritage ES (Cherokee County),Cherokee,Tahlequah,Public,105,0,0.962
Southeast ES,Tulsa,Jenks,Public,183,0.04,0.962
Parkland ES,Canadian,Yukon,Public,52,0.04,0.962
Minco ES,Grady,Minco,Public,51,0,0.961
Bernita Hughes ES,Mayes,Adair,Public,76,0.03,0.961
Carnegie ES (Caddo County),Caddo,Carnegie,Public,43,0,0.960
Summit Christian Academy,Tulsa,ACTS ,Private,25,0.04,0.960
Ward West ES,Bryan,Colbert,Public,50,0.02,0.960
Waurika ES,Jefferson,Waurika,Public,25,0,0.960
ADA EC CTR,Pontotoc,ADA,Public,196,0,0.959
Monroe ES (Oklahoma County),Oklahoma,Oklahoma City,Public,49,0,0.959
Bishop John Carroll School,Oklahoma,Occsaa,Private,24,0.04,0.958
Ellen Ochoa ES,Tulsa,Union,Public,81,0,0.958
Lynn Wood ES,Tulsa,Broken Arrow,Public,72,0.06,0.958
Pierce ES,Oklahoma,Oklahoma City,Public,24,0,0.958
Thackerville ES,Love,Thackerville,Public,24,0,0.958
Van Buren ES,Oklahoma,Oklahoma City,Public,48,0,0.958
J.F. Kennedy ES,Creek,Oilton,Public,15,0.07,0.958
Erick ES,Beckham,Erick,Public,27,0.04,0.957
Hawthorne ES (Tulsa County),Tulsa,Tulsa,Public,32,0.03,0.957
Northeast ES (Texas County),Texas,Guymon,Public,70,0.01,0.957
Eisenhower ES (Comanche County),Comanche,Lawton,Public,56,0,0.957
Northeast ES (Tulsa County),Tulsa,Owasso,Public,92,0.03,0.957
Putnam Heights ES,Oklahoma,Oklahoma City,Public,46,0.02,0.957
Ridgecrest ES (Oklahoma County),Oklahoma,Midwest City-Del City,Public,46,0.04,0.957
Roosevelt ES (Cleveland County),Cleveland,Norman,Public,85,0.16,0.957
Turkey Ford Public School,Ottawa,Turkey Ford,Public,23,0.04,0.957
Washington ES (McClain County),McClain,Washington,Public,80,0.03,0.957
Merritt ES,Beckham,Merritt,Public,91,0.01,0.956
Muldrow ES,Sequoyah,Muldrow,Public,90,0,0.956
Harvest Hills ES,Oklahoma,Putnam City,Public,59,0,0.955
Westside ES,Rogers,Claremore,Public,67,0.03,0.955
Lincoln ES (Kay County),Kay,Ponca City,Public,70,0,0.955
Bowlegs ES,Seminole,Bowlegs,Public,22,0.05,0.955
Dewar ES,Okmulgee,Dewar,Public,34,0.03,0.955
Harmony Public School,Atoka,Harmony,Public,27,0.07,0.955
Mannsville Public School,Johnston,Mannsville,Public,11,0,0.955
Salyer ES,Texas,Guymon,Public,44,0,0.955
Tulakes ES,Oklahoma,Putnam City,Public,87,0,0.954
Morris ES,Okmulgee,Morries,Public,65,0.03,0.954
Garber ES,Garfield,Garber,Public,27,0,0.954
Emerson ES (Stephens County),Stephens,Duncan,Public,72,0.01,0.953
McKinley ES (Tulsa County),Tulsa,Tulsa,Public,62,0.02,0.953
Penn ES,Tulsa,Tulsa,Public,43,0,0.953
Madill ES,Marshall,Madill,Public,158,0.01,0.953
Almor West ES,Comanche,Lawton,Public,42,0.02,0.952
Asher ES,Pottawatomie,Asher,Public,21,0,0.952
Battiest ES,McCurtain,Battiest,Public,21,0,0.952
Bell ES,Tulsa,Tulsa,Public,63,0,0.952
Bennington ES,Bryan,Bennington,Public,21,0,0.952
Lanier ES,Tulsa,Tulsa,Public,50,0.02,0.952
Soper ES,Choctaw,Soper,Public,21,0,0.952
Stand Watie ES,Oklahoma,Oklahoma City,Public,84,0,0.952
Mustang ES,Canadian,Mustang,Public,104,0.02,0.952
Lone Grove Primary ES,Carter,Lone Grove,Public,110,0,0.951
Bryant ES,Cleveland,Moore,Public,82,0,0.951
Butner ES,Seminole,Butner,Public,21,0,0.951
Garfield ES (Garfield County),Garfield,Enid,Public,108,0.01,0.951
Moffett Public School,Sequoyah,Moffett,Public,41,0,0.951
Morrison ES,Noble,Morrison,Public,41,0,0.951
Myers ES,Canadian,Yukon,Public,82,0.05,0.951
Adams ES (Garfield County),Garfield,Enid,Public,48,0,0.950
Edison ES (Creek County),Creek,Bristow,Public,100,0.09,0.950
Moss ES,Hughes,Moss,Public,20,0.05,0.950
Wellston ES,Lincoln,Wellston,Public,40,0,0.950
Woodlands ES,Kay,Ponca City,Public,40,0.08,0.950
Country Lane Primary ES,Tulsa,Broken Arrow,Public,268,0.04,0.949
Pratt ES,Tulsa,Sand Springs,Public,59,0,0.949
Preston ES,Okmulgee,Preston,Public,39,0,0.949
Wolf Creek ES,Tulsa,Broken Arrow,Public,97,0.03,0.948
Springdale ES,Tulsa,Tulsa,Public,57,0,0.947
The Little Light House,Tulsa,"ICAA, AdvancED",Private,19,0,0.947
Union ES,Kay,Ponca City,Public,38,0,0.947
Welch ES,Craig,Welch,Public,19,0.05,0.947
Aspen Creek ES,Tulsa,Broken Arrow,Public,113,0.04,0.947
Windsor Hills ES,Oklahoma,Putnam City,Public,113,0,0.947
Central ES (Canadian County),Canadian,Yukon,Public,83,0.01,0.947
Glenpool ES,Tulsa,Glenpool,Public,220,0.02,0.947
Leisure Park ES,Tulsa,Broken Arrow,Public,109,0.02,0.947
Southgate-Rippetoe ES,Cleveland,Moore,Public,75,0.04,0.947
Eisenhower ES (Garfield County),Garfield,Enid,Public,23,0,0.946
Nance ES,Custer,Clinton,Public,168,0.03,0.946
Ridgeview ES ,Oklahoma,Oklahoma City,Public,56,0.02,0.946
Sooner ES,Cleveland,Moore,Public,55,0.02,0.945
Bishop Public School,Comanche,Bishop,Public,73,0,0.945
Prairie ES,Texas,Guymon,Public,73,0,0.945
Mazie ES,Mayes,Chouteau-Mazie,Public,12,0,0.945
Eisenhower International ES,Tulsa,Tulsa,Public,115,0.14,0.944
Hamilton ES,Tulsa,Tulsa,Public,62,0,0.944
Liberty ES (Broken Arrow District),Tulsa,Broken Arrow,Public,96,0.05,0.944
Middleberg Public School,Grady,Middleburg,Public,18,0.06,0.944
Northwest ES (Wagoner County),Wagoner,Coweta,Public,75,0.03,0.944
Rancho Village ES,Oklahoma,Oklahoma City,Public,54,0,0.944
Roosevelt ES (Mayes County),Mayes,Pryor,Public,69,0.01,0.944
Buchanan ES,Oklahoma,Oklahoma City,Public,71,0.01,0.944
Horace Mann ES (Stephens County),Stephens,Duncan,Public,68,0.01,0.944
Kansas ES,Delaware,Kansas,Public,55,0,0.944
Mustang Lakehoma ES,Canadian,Mustang,Public,106,0.02,0.943
Epic Blended Charter,Oklahoma,N/A,Charter,562,0.21,0.943
Choctaw ES,Oklahoma,Chocktaw-Nicoma Park,Public,52,0.02,0.943
Keota ES,Haskell,Keota,Public,31,0,0.943
Northern Hills ES,Oklahoma,Edmond,Public,114,0.1,0.943
Prague ES,Lincoln,Prague,Public,87,0.01,0.943
Stigler ES,Haskell,Stigler,Public,87,0.01,0.943
Washington ES (Ottawa County),Ottawa,Miami,Public,46,0,0.943
Mustang Valley ES,Canadian,Mustang,Public,139,0.04,0.942
Country Estates ES,Oklahoma,Midwest City-Del City,Public,59,0.02,0.942
Arbor Grove ES,Oklahoma,Putnam City,Public,85,0.01,0.941
Cotteral ES,Logan,Guthrie,Public,212,0.02,0.941
John Ross ES,Oklahoma,Edmond,Public,119,0.03,0.941
Plainview Primary ES,Carter,Plainview,Public,102,0.04,0.941
Pond Creek-Hunters ES,Grant,Pond Creek-Hunter,Public,17,0,0.941
Stuart ES,Hughes,Stuart,Public,17,0,0.941
Timber Ridge ES,Tulsa,Broken Arrow,Public,102,0.03,0.941
Verden ES,Grady,Verden,Public,17,0.06,0.941
Woodward Early Childhood Center,Woodward,Woodward,Public,221,0.03,0.941
Zaneis Public School,Carter,Zaneis,Public,34,0.06,0.941
Jefferson Heights ES,Creek,Sapulpa,Public,47,0,0.941
Washington Irving ES (Bryan County),Bryan,Durant,Public,185,0.01,0.941
Sheldeck ES,Canadian,Yukon,Public,67,0,0.940
Parkview ES (Lincoln County),Lincoln,Stroud,Public,49,0,0.940
Rockwood ES,Oklahoma,Oklahoma City,Public,83,0,0.940
Perry ES,Noble,Perry,Public,66,0,0.939
Brushy Public School,Sequoyah,Brushy,Public,49,0.04,0.939
Central High ES,Stephens,Central High,Public,31,0.06,0.939
Burcham ES,Custer,Weatherford,Public,193,0.01,0.938
Banner Public School,Canadian,Banner,Public,32,0,0.938
Cordell ES,Washita,Cordell,Public,42,0,0.938
Disney ES,Tulsa,Tulsa,Public,83,0,0.938
E.M. Trout ES,Kay,Ponca City,Public,40,0.03,0.938
Ethel Reed ES,Hughes,Holdenville,Public,94,0.04,0.938
Forest Grove Public School,McCurtain,Forest Grove,Public,23,0,0.938
Gore ES,Sequoyah,Gore,Public,40,0,0.938
Hawthorne ES (Oklahoma County),Oklahoma,Oklahoma City,Public,67,0.03,0.938
Holland Hall School,Tulsa,Isas,Private,38,0.05,0.938
Jackson ES (Oklahoma County),Oklahoma,Oklahoma City,Public,65,0.02,0.938
Jefferson Early Learning Center,Garvin,Pauls Valley,Public,90,0.01,0.938
Jennings Public School,Pawnee,Jennings,Public,24,0.04,0.938
Mill Creek ES,Johnston,Mill Creek,Public,16,0,0.938
Osage Public School,Mayes,Osage,Public,16,0,0.938
South Coffeyville ES,Nowata,South Coffeyville,Public,16,0,0.938
Tupelo ES,Coal,Tupelo,Public,16,0,0.938
Boevers ES,Tulsa,Union,Public,95,0.02,0.937
Mitchell ES,Tulsa,Tulsa,Public,63,0,0.937
Lomega ES,Kingfisher,Lomega,Public,10,0,0.936
Mustang Trails ES,Canadian,Mustang,Public,157,0,0.936
Vian ES,Sequoyah,Vian,Public,77,0,0.935
Vinita ES,Craig,Vinita,Public,77,0.03,0.935
Nicoma Park ES,Oklahoma,Chocktaw-Nicoma Park,Public,123,0.06,0.935
Eliot ES,Tulsa,Tulsa,Public,46,0.09,0.935
Benjamin Franklin Science Academy,Muskogee,Muskogee,Public,61,0.02,0.934
Heronville ES,Oklahoma,Oklahoma City,Public,74,0,0.934
Bray-Doyle ES,Stephens,Bray-Doyle,Public,15,0,0.933
Creek ES,Muskogee,Muskogee,Public,63,0.02,0.933
Dale ES,Pottawatomie,Dale,Public,55,0,0.933
Holmes Park ES,Creek,Sapulpa,Public,99,0,0.933
Irving ES,Muskogee,Muskogee,Public,56,0,0.933
Konawa ES,Seminole,Konawa,Public,56,0,0.933
Pioneer Public School,Grady,Pioneer ,Public,45,0.02,0.933
School of Saint Mary,Tulsa,Occsaa,Private,30,0.07,0.933
St. James Catholic School,Oklahoma,Occsaa,Private,15,0,0.933
Telstar ES,Oklahoma,Oklahoma City,Public,30,0,0.933
Will Rogers ES (Putnam City District),Oklahoma,Putnam City,Public,60,0.03,0.933
Southern Hills ES,Oklahoma,Oklahoma City,Public,89,0.1,0.933
Garfield ES (Kay County),Kay,Ponca City,Public,41,0,0.932
Russell Dougherty ES,Oklahoma,Edmond,Public,44,0.02,0.932
Tulsa Legacy Charter School,Tulsa,N/A,Charter,73,0,0.932
Marquette Catholic School,Tulsa,Occsaa,Private,44,0.02,0.931
Eugene Field ES (Tulsa County),Tulsa,Tulsa,Public,54,0,0.931
Kelley ES,Cleveland,Moore,Public,39,0,0.931
Newcastle Early Childhood Center,McClain,Newcastle,Public,174,0.02,0.931
St. Eugene Catholic School,Oklahoma,Occsaa,Private,29,0.03,0.931
Heritage Hall School,Oklahoma,Isas,Private,46,0.04,0.931
Green Pastures ES,Oklahoma,Oklahoma City,Public,28,0,0.930
Bodine ES,Oklahoma,Oklahoma City,Public,57,0,0.930
Johnson ES,Oklahoma,Oklahoma City,Public,27,0.04,0.929
Calvin ES,Hughes,Calvin,Public,16,0,0.929
Indiahoma ES,Comanche,Indiahoma,Public,12,0,0.929
Lincoln ES (Cleveland County),Cleveland,Norman,Public,44,0.05,0.929
Marshall ES (Tulsa County),Tulsa,Tulsa,Public,16,0,0.929
Quinton ES,Pittsburg,Quinton,Public,28,0,0.929
Southside ES,Wagoner,Coweta,Public,98,0.06,0.929
Will Rogers ES (Edmon District),Oklahoma,Edmond,Public,112,0.06,0.929
Arrowhead ES,Tulsa,Broken Arrow,Public,83,0.05,0.928
Roosevelt ES (Ottawa County),Ottawa,Miami,Public,46,0.04,0.928
Darlington Public School,Canadian,Darlington,Public,30,0,0.927
Maud ES,Pottawatomie,Maud,Public,20,0.1,0.927
Foyil ES,Rogers,Foyil,Public,34,0,0.927
Sunset ES (Oklahoma County),Oklahoma,Edmond,Public,109,0.03,0.927
Boswell ES,Choctaw,Boswell,Public,27,0,0.926
Felt ES,Cimarron,Felt,Public,11,0,0.926
Frontier ES (Noble County),Noble,Frontier,Public,27,0,0.926
Friend Public School,Grady,Friend,Public,31,0.1,0.925
Highland Park ES (Tulsa County),Tulsa,Broken Arrow,Public,122,0.06,0.924
Westwood ES (Payne County),Payne,Stillwater,Public,79,0.03,0.924
Salk ES,Tulsa,Tulsa,Public,92,0.01,0.924
Casady School,Oklahoma,Isas,Private,30,0,0.923
Katherine I. Daily ES,Cleveland,NOBLE,Public,177,0.03,0.923
Moyers ES,Pushmataha,Moyers,Public,13,0,0.923
Pleasant Hill Early Childhood Center,Oklahoma,Midwest City-Del City,Public,26,0.04,0.923
Rush Springs ES,Grady,Rush Springs,Public,26,0.04,0.923
Wheeler ES,Oklahoma,Oklahoma City,Public,52,0,0.923
Kellyville ES,Creek,Kellyville,Public,58,0.03,0.921
Washington ES (Comanche County),Comanche,Lawton,Public,38,0,0.921
Hayes ES (Garfield County),Garfield,Enid,Public,47,0.02,0.921
Shawnee Early Childhood Center,Pottawatomie,Shawne,Public,263,0.02,0.920
Cleveland ES (Cleveland County),Cleveland,Norman,Public,96,0.03,0.920
Northwest ES (Tulsa County),Tulsa,Jenks,Public,180,0.03,0.920
Whitefield Public School,Haskell,Whitefield,Public,25,0.04,0.920
Holly Creek Public School,McCurtain,Holly Creek,Public,21,0,0.919
Skyline ES,Payne,Stillwater,Public,74,0.05,0.919
Oakridge ES (Cleveland County),Cleveland,Moore,Public,86,0.01,0.919
Grissom ES,Tulsa,Tulsa,Public,37,0,0.918
Westminster School,Oklahoma,Isas,Private,61,0,0.918
