id,County,District,School Type,Kindergarteners_with_Vaccination_Record,value,Exempt Rate
WILSON ES (OKMULGEE COUNTY),OKMULGEE,WILSON,Public,14,0.714,0
WETUMKA ES,HUGHES,WETUMKA,Public,24,0.708,0
CENTRAL OAK ES,OKLAHOMA,CROOKED OAK,Public,71,0.704,0
CANADIAN ES,PITTSBURG,CANADIAN,Public,27,0.704,0
GLENCOE ES,PAYNE,GLENCOE,Public,26,0.692,0
WICKLIFFE PUBLIC SCHOOL,MAYES,WICKLIFFE,Public,13,0.692,0
ANGIE DEBO ES,OKLAHOMA,EDMOND,Public,144,0.688,0
HUGH BISH ES,COMANCHE,LAWTON,Public,41,0.683,0
APACHE ES,CADDO,BOONE-APACHE,Public,34,0.676,0
ARAPAHO-BUTLER ES,CUSTER,ARAPAHO-BUTLER,Public,36,0.667,0
CARRIAGE HILLS ES,COMANCHE,LAWTON,Public,42,0.667,0
WILSON ES (CARTER COUNTY),CARTER,WILSON,Public,33,0.667,0
SULLIVAN VILLAGE ES,COMANCHE,LAWTON,Public,59,0.644,0
GREEN PASTURES ES,OKLAHOMA,OKLAHOMA CITY,Public,28,0.643,0
RYAN ES,JEFFERSON,RYAN,Public,11,0.636,0
TURNER ES,LOVE,TURNER,Public,22,0.636,0
LINWOOD ES,OKLAHOMA,OKLAHOMA CITY,Public,67,0.627,0
OAK GROVE PUBLIC SCHOOL,PAYNE,OAK GROVE,Public,21,0.619,0
EARLYWINE ES,CLEVELAND,MOORE,Public,57,0.614,0
FLOWER MOUND PUBLIC SCHOOL,COMANCHE,FLOWER MOUND,Public,53,0.604,0
EDGEMERE ES,OKLAHOMA,OKLAHOMA CITY,Public,15,0.600,0
Lawton Christian School,COMANCHE,ACTS,Private,18,0.556,0
BIG PASTURE ES,COTTON,BIG PASTURE,Public,11,0.545,0
JANE PHILLIPS ES,WASHINGTON,BARTLESVILLE,Public,46,0.543,0
ARTHUR ES,OKLAHOMA,OKLAHOMA CITY,Public,93,0.527,0
DEBORAH BROWN COMMUNITY SCHOOL,TULSA,N/A,Charter,80,0.513,0
HYDRO-EAKLY ES,CADDO,HYDRO-EAKLY,Public,26,0.423,0
Messiah Lutheran School,OKLAHOMA,NLSA,Private,14,0.286,0

