id ,County,District,School Type,Kindergarteners_with_Vaccination_Record,value,Exempt Rate
VELMA-ALMA ES,STEPHENS,VELMA-ALMA,Public,28,1.000,0.000
WAINWRIGHT PUBLIC SCHOOL,MUSKOGEE,WAINWRIGHT,Public,14,1.000,0.000
WAYNE ES,MCCLAIN,WAYNE,Public,35,1.000,0.000
WAYNOKA ES,WOODS,WAYNOKA,Public,21,1.000,0.000
WEST NICHOLS HILLS ES,OKLAHOMA,OKLAHOMA CITY,Public,60,1.000,0.000
WILL ROGERS ES (BURNS FLAT-DILL CITY),WASHITA,BURNS FLAT-DILL CITY,Public,37,1.000,0.000
WILSON ES (OTTAWA COUNTY),OTTAWA,MIAMI,Public,24,1.000,0.000
WOODALL PUBLIC SCHOOL,CHEROKEE,WOODALL,Public,58,1.000,0.000
WYANDOTTE ES,OTTAWA,WYANDOTTE,Public,65,1.000,0.000
OKMULGEE PRIMARY ES,OKMULGEE,OKMULGEE,Public,136,0.993,0.007
MARLOW ES,STEPHENS,MARLOW,Public,126,0.992,0.008
HUGO ES,CHOCTAW,HUGO,Public,118,0.992,0.017
COLLINSVILLE EC CTR,TULSA,COLLINSVILLE,Public,207,0.990,0.005
HOMER ES,PONTOTOC,BYNG,Public,99,0.990,0.000
LATTA ES,PONTOTOC,LATTA,Public,97,0.990,0.010
RANCHWOOD ES,CANADIAN,YUKON,Public,95,0.989,0.011
GREENWOOD ES,CHEROKEE,TAHLEQUAH,Public,92,0.989,0.000
MARIETTA ES,LOVE,MARIETTA,Public,92,0.989,0.000
CHEROKEE ES (CHEROKEE COUNTY),CHEROKEE,TAHLEQUAH,Public,90,0.989,0.000
BLACKWELL ES,KAY,BLACKWELL,Public,86,0.988,0.012
HENRYETTA ES,OKMULGEE,HENRYETTA,Public,86,0.988,0.000
WOODROW WILSON ES (WASHINGTON COUNTY),WASHINGTON,BARTLESVILLE,Public,83,0.988,0.012
ELLEN OCHOA ES,TULSA,UNION,Public,81,0.988,0.000
NORTHWEST HEIGHTS ES,BRYAN,DURANT,Public,158,0.987,0.006
THOMAS JEFFERSON ES,TULSA,UNION,Public,77,0.987,0.039
BRITTON ES,OKLAHOMA,OKLAHOMA CITY,Public,76,0.987,0.013
JARMAN ES,TULSA,UNION,Public,76,0.987,0.000
HOBART ES,KIOWA,HOBART,Public,73,0.986,0.014
EMERSON ES (STEPHENS COUNTY),STEPHENS,DUNCAN,Public,72,0.986,0.014
ADAMS ES (OKLAHOMA COUNTY),OKLAHOMA,OKLAHOMA CITY,Public,71,0.986,0.000
Monte Cassino School,TULSA,AdvancED,Private,71,0.986,0.000
PRAIRIE VIEW ES (GARFIELD COUNTY),GARFIELD,ENID,Public,71,0.986,0.000
ALEXANDER ES,OTTAWA,COMMERCE,Public,69,0.986,0.000
OAK CREST ES,TULSA,BROKEN ARROW,Public,64,0.984,0.016
OWEN ES,TULSA,TULSA,Public,63,0.984,0.016
CATALAYAH ES,ROGERS,CLAREMORE,Public,62,0.984,0.016
MILLWOOD ES,OKLAHOMA,MILLWOOD,Public,60,0.983,0.017
POCOLA ES,LE FLORE,POCOLA,Public,58,0.983,0.000
WILL ROGERS ES (ARDMORE),CARTER,ARDMORE,Public,232,0.983,0.009
HOOVER ES (GARFIELD COUNTY),GARFIELD,ENID,Public,57,0.982,0.000
LEISURE PARK ES,TULSA,BROKEN ARROW,Public,109,0.982,0.018
CORNELSEN ES,MAJOR,FAIRVIEW,Public,54,0.981,0.019
WOODROW WILSON ES (STPEHENS COUNTY),STEPHENS,DUNCAN,Public,53,0.981,0.000
CHOCTAW ES,OKLAHOMA,CHOCTAW-NICOMA PARK,Public,52,0.981,0.019
CLEVELAND PRIMARY ES,PAWNEE,CLEVELAND,Public,104,0.981,0.010
HEAVENER ES,LE FLORE,HEAVENER,Public,52,0.981,0.000
NEWKIRK ES,KAY,NEWKIRK,Public,52,0.981,0.000
WINDS WEST ES,OKLAHOMA,WESTERN HEIGHTS,Public,51,0.980,0.000
DOVE SCIENCE ACADEMY ES,OKLAHOMA,N/A,Charter,49,0.980,0.000
SALINA ES,MAYES,SALINA,Public,49,0.980,0.000
SPIRO ES,LE FLORE,SPIRO,Public,98,0.980,0.000
DICKSON ES,CARTER,DICKSON,Public,97,0.979,0.010
ADAMS ES (GARFIELD COUNTY),GARFIELD,ENID,Public,48,0.979,0.000
L. W. WESTFALL ES,OKLAHOMA,CHOCTAW-NICOMA PARK,Public,48,0.979,0.021
LIBERTY ES (PONCA CITY),KAY,PONCA CITY,Public,48,0.979,0.021
JEFFERSON HEIGHTS ES,CREEK,SAPULPA,Public,47,0.979,0.000
HOMER LONG ES,TEXAS,GUYMON,Public,93,0.978,0.000
CREEKWOOD ES,TULSA,BROKEN ARROW,Public,92,0.978,0.000
LAKE PARK ES,OKLAHOMA,PUTNAM CITY,Public,46,0.978,0.000
SHIDLER ES,OKLAHOMA,OKLAHOMA CITY,Public,46,0.978,0.000
Marquette Catholic School,TULSA,OCCSAA,Private,44,0.977,0.023
SANTA FE SOUTH EARLY CHILDHOOD,OKLAHOMA,N/A,Charter,86,0.977,0.000
LOCUST GROVE EARLY LRNING CTR,MAYES,LOCUST GROVE,Public,85,0.976,0.024
WAYSIDE ES,WASHINGTON,BARTLESVILLE,Public,85,0.976,0.012
HUPFELD ACAD./WESTERN VILLAGE,OKLAHOMA,N/A,Charter,42,0.976,0.024
CENTRAL ES (CANADIAN COUNTY),CANADIAN,YUKON,Public,83,0.976,0.012
SPERRY ES,TULSA,SPERRY,Public,83,0.976,0.000
CENTRAL ES (OKLAHOMA COUNTY),OKLAHOMA,PUTNAM CITY,Public,81,0.975,0.012
BETHEL ES,POTTAWATOMIE,BETHEL,Public,80,0.975,0.013
HOMINY EARLY CHILDHOOD CENTER,OSAGE,HOMINY,Public,40,0.975,0.000
MUSTANG CREEK ES,CANADIAN,MUSTANG,Public,120,0.975,0.025
DEWEY ES,WASHINGTON,DEWEY,Public,78,0.974,0.026
LIBERTY ES (SAPULPA),CREEK,SAPULPA,Public,39,0.974,0.000
MARSHALL ES (MCINTOSH COUNTY),MCINTOSH,CHECOTAH,Public,117,0.974,0.000
Holland Hall School,TULSA,ISAS,Private,38,0.974,0.053
TWIN HILLS PUBLIC SCHOOL,OKMULGEE,TWIN HILLS,Public,38,0.974,0.000
PORUM ES,MUSKOGEE,PORUM,Public,37,0.973,0.000
GLENPOOL ES,TULSA,GLENPOOL,Public,220,0.973,0.018
RIVERS ES,JACKSON,ALTUS,Public,73,0.973,0.000
WESTVILLE ES,ADAIR,WESTVILLE,Public,73,0.973,0.014
POTEAU PRIMARY ES,LE FLORE,POTEAU,Public,181,0.972,0.017
CALERA ES,BRYAN,CALERA,Public,72,0.972,0.000
HINTON ES,CADDO,HINTON,Public,36,0.972,0.000
PIONEER-PLEASANT VALE ES,GARFIELD,PIONEER-PLEASANT VALE,Public,36,0.972,0.028
WAUKOMIS ES,GARFIELD,WAUKOMIS,Public,36,0.972,0.000
KROUCH ES,POTTAWATOMIE,TECUMSEH,Public,143,0.972,0.028
SURREY HILLS ES,CANADIAN,YUKON,Public,143,0.972,0.021
PRAIRIE VIEW ES (CANADIAN COUNTY),CANADIAN,MUSTANG,Public,107,0.972,0.000
HODGEN PUBLIC SCHOOL,LE FLORE,HODGEN,Public,35,0.971,0.029
NAVAJO ES,JACKSON,NAVAJO,Public,35,0.971,0.000
CEDAR RIDGE ES,TULSA,UNION,Public,69,0.971,0.014
HORACE MANN ES (STEPHENS COUNTY),STEPHENS,DUNCAN,Public,68,0.971,0.015
INOLA ES,ROGERS,INOLA,Public,102,0.971,0.029
ZION PUBLIC SCHOOL,ADAIR,ZION,Public,34,0.971,0.000
PERKINS-TRYON ES,PAYNE,PERKINS-TRYON,Public,100,0.970,0.010
CLARK ES,TULSA,UNION,Public,99,0.970,0.000
LUKFATA PUBLIC SCHOOL,MCCURTAIN,LUKFATA,Public,33,0.970,0.030
SPENCER ES,OKLAHOMA,OKLAHOMA CITY,Public,33,0.970,0.000
WILLIAM GAY EC CTR,PITTSBURG,MCALESTER,Public,230,0.970,0.026
JENKS WEST ES,TULSA,JENKS,Public,327,0.969,0.024
JACKSON ES (OKLAHOMA COUNTY),OKLAHOMA,OKLAHOMA CITY,Public,65,0.969,0.015
ALLEN-BOWDEN PUBLIC SCHOOL,CREEK,ALLEN-BOWDEN,Public,32,0.969,0.000
CLEVELAND ES (CLEVELAND COUNTY),CLEVELAND,NORMAN,Public,96,0.969,0.031
COOLIDGE ES (OKLAHOMA COUNTY),OKLAHOMA,OKLAHOMA CITY,Public,95,0.968,0.011
GROVE LOWER ES,DELAWARE,GROVE,Public,189,0.968,0.026
RHOADES ES,TULSA,BROKEN ARROW,Public,63,0.968,0.032
ETHEL REED ES,HUGHES,HOLDENVILLE,Public,94,0.968,0.043
KAISER ES,OKLAHOMA,OKLAHOMA CITY,Public,94,0.968,0.011
HILLDALE LOWER ES,MUSKOGEE,HILLDALE,Public,125,0.968,0.000
DAVENPORT ES,LINCOLN,DAVENPORT,Public,31,0.968,0.000
BIXBY NORTH ES,TULSA,BIXBY,Public,154,0.968,0.032
JEFFERSON EARLY LRNING CTR,GARVIN,PAULS VALLEY,Public,90,0.967,0.011
MARK TWAIN ES (STPEHENS COUNTY),STEPHENS,DUNCAN,Public,30,0.967,0.000
VALLIANT ES,MCCURTAIN,VALLIANT,Public,60,0.967,0.000
WRIGHT CITY ES,MCCURTAIN,WRIGHT CITY,Public,30,0.967,0.000
COUNTRY LANE PRIMARY ES,TULSA,BROKEN ARROW,Public,268,0.966,0.045
DARNABY ES,TULSA,UNION,Public,89,0.966,0.011
MARY WHITE ES,MUSKOGEE,HASKELL,Public,59,0.966,0.017
NORTH ROCK CREEK PUBLIC SCHOOL,POTTAWATOMIE,NORTH ROCK CREEK,Public,59,0.966,0.017
PLAZA TOWERS ES,CLEVELAND,MOORE,Public,59,0.966,0.017
GROVE PUBLIC SCHOOL,POTTAWATOMIE,GROVE,Public,56,0.964,0.036
IRVING ES,MUSKOGEE,MUSKOGEE,Public,56,0.964,0.000
KONAWA ES,SEMINOLE,KONAWA,Public,56,0.964,0.000
OKARCHE ES,KINGFISHER,OKARCHE,Public,28,0.964,0.000
RANCH HEIGHTS ES,WASHINGTON,BARTLESVILLE,Public,83,0.964,0.024
WILLOW BROOK ES,OKLAHOMA,OKLAHOMA CITY,Public,83,0.964,0.024
CENTRAL ES (TULSA COUNTY),TULSA,BIXBY,Public,220,0.964,0.050
FORT GIBSON EARLY LRNING CTR,MUSKOGEE,FORT GIBSON,Public,137,0.964,0.029
FOX ES,CARTER,FOX,Public,27,0.963,0.037
GARBER ES,GARFIELD,GARBER,Public,27,0.963,0.000
SEQUOYAH ES (OKLAHOMA COUNTY),OKLAHOMA,OKLAHOMA CITY,Public,54,0.963,0.037
THELMA R. PARKS ES,OKLAHOMA,OKLAHOMA CITY,Public,27,0.963,0.000
WILBURTON ES,LATIMER,WILBURTON,Public,54,0.963,0.000
MUSTANG CENTENNIAL ES,CANADIAN,MUSTANG,Public,106,0.962,0.009
MADILL ES,MARSHALL,MADILL,Public,158,0.962,0.013
HERITAGE ES (CHEROKEE COUNTY),CHEROKEE,TAHLEQUAH,Public,105,0.962,0.000
SOUTHEAST ES,TULSA,JENKS,Public,183,0.962,0.044
PARKLAND ES,CANADIAN,YUKON,Public,52,0.962,0.038
MINCO ES,GRADY,MINCO,Public,51,0.961,0.000
BERNITA HUGHES ES,MAYES,ADAIR,Public,76,0.961,0.026
CANUTE ES,WASHITA,CANUTE,Public,25,0.960,0.000
Summit Christian Academy,TULSA,ACTS ,Private,25,0.960,0.040
WARD ES WEST,BRYAN,COLBERT,Public,50,0.960,0.020
WAURIKA ES,JEFFERSON,WAURIKA,Public,25,0.960,0.000
ADA EC CTR,PONTOTOC,ADA,Public,196,0.959,0.000
MONROE ES (OKLAHOMA COUNTY),OKLAHOMA,OKLAHOMA CITY,Public,49,0.959,0.000
Bishop John Carroll School,OKLAHOMA,OCCSAA,Private,24,0.958,0.042
ELK CITY ES,BECKHAM,ELK CITY,Public,144,0.958,0.000
M.L. KING JR. ES,OKLAHOMA,OKLAHOMA CITY,Public,48,0.958,0.021
PIERCE ES,OKLAHOMA,OKLAHOMA CITY,Public,24,0.958,0.000
THACKERVILLE ES,LOVE,THACKERVILLE,Public,24,0.958,0.000
VAN BUREN ES,OKLAHOMA,OKLAHOMA CITY,Public,48,0.958,0.000
JACKSON ES (CLEVELAND COUNTY),CLEVELAND,NORMAN,Public,71,0.958,0.000
EPPERLY HEIGHTS ES,OKLAHOMA,MIDWEST CITY-DEL CITY,Public,94,0.957,0.011
HAYES ES (GARFIELD COUNTY),GARFIELD,ENID,Public,47,0.957,0.021
NORTHEAST ES (TEXAS COUNTY),TEXAS,GUYMON,Public,70,0.957,0.014
EISENHOWER ES (GARFIELD COUNTY),GARFIELD,ENID,Public,23,0.957,0.000
NORTHEAST ES (TULSA COUNTY),TULSA,OWASSO,Public,92,0.957,0.033
PUTNAM HEIGHTS ES,OKLAHOMA,OKLAHOMA CITY,Public,46,0.957,0.022
RIDGECREST ES (OKLAHOMA COUNTY),OKLAHOMA,MIDWEST CITY-DEL CITY,Public,46,0.957,0.043
ROOSEVELT ES (OTTAWA COUNTY),OTTAWA,MIAMI,Public,46,0.957,0.043
TURKEY FORD PUBLIC SCHOOL,OTTAWA,TURKEY FORD,Public,23,0.957,0.043
WASHINGTON ES (OTTAWA COUNTY),OTTAWA,MIAMI,Public,46,0.957,0.000
MERRITT ES,BECKHAM,MERRITT,Public,91,0.956,0.011
MULDROW ES,SEQUOYAH,MULDROW,Public,90,0.956,0.000
HAWTHORNE ES (OKLAHOMA COUNTY),OKLAHOMA,OKLAHOMA CITY,Public,67,0.955,0.030
WESTSIDE ES,ROGERS,CLAREMORE,Public,67,0.955,0.030
LINCOLN ES (MAYES COUNTY),MAYES,PRYOR,Public,111,0.955,0.000
BOWLEGS ES,SEMINOLE,BOWLEGS,Public,22,0.955,0.045
DEPEW ES,CREEK,DEPEW,Public,22,0.955,0.045
HARTSHORNE ES,PITTSBURG,HARTSHORNE,Public,44,0.955,0.045
MAPLE PUBLIC SCHOOL,CANADIAN,MAPLE,Public,22,0.955,0.045
SALYER ES,TEXAS,GUYMON,Public,44,0.955,0.000
TULAKES ES,OKLAHOMA,PUTNAM CITY,Public,87,0.954,0.000
MORRIS ES,OKMULGEE,MORRIS,Public,65,0.954,0.031
GARFIELD ES (GARFIELD COUNTY),GARFIELD,ENID,Public,108,0.954,0.009
EMERSON ES (COAL COUNTY),COAL,COALGATE,Public,43,0.953,0.000
MCLOUD ES,POTTAWATOMIE,MCLOUD,Public,129,0.953,0.023
PENN ES,TULSA,TULSA,Public,43,0.953,0.000
MADISON ES,CLEVELAND,NORMAN,Public,64,0.953,0.000
ALMOR WEST ES,COMANCHE,LAWTON,Public,42,0.952,0.024
ASHER ES,POTTAWATOMIE,ASHER,Public,21,0.952,0.000
BATTIEST ES,MCCURTAIN,BATTIEST,Public,21,0.952,0.000
BELL ES,TULSA,TULSA,Public,63,0.952,0.000
BENNINGTON ES,BRYAN,BENNINGTON,Public,21,0.952,0.000
LARKIN BAILEY ES,TULSA,OWASSO,Public,84,0.952,0.036
SOPER ES,CHOCTAW,SOPER,Public,21,0.952,0.000
STAND WATIE ES,OKLAHOMA,OKLAHOMA CITY,Public,84,0.952,0.000
MUSTANG ES,CANADIAN,MUSTANG,Public,104,0.952,0.019
LONE STAR PUBLIC SCHOOL,CREEK,LONE STAR,Public,103,0.951,0.019
BRYANT ES,CLEVELAND,MOORE,Public,82,0.951,0.000
BURROUGHS ES,TULSA,TULSA,Public,41,0.951,0.000
GARFIELD ES (KAY COUNTY),KAY,PONCA CITY,Public,41,0.951,0.000
MOFFETT PUBLIC SCHOOL,SEQUOYAH,MOFFETT,Public,41,0.951,0.000
MORRISON ES,NOBLE,MORRISON,Public,41,0.951,0.000
MYERS ES,CANADIAN,YUKON,Public,82,0.951,0.049
ADAMS ES (CLEVELAND COUNTY),CLEVELAND,NORMAN,Public,101,0.950,0.000
EDISON ES (CREEK COUNTY),CREEK,BRISTOW,Public,100,0.950,0.090
MOSS ES,HUGHES,MOSS,Public,20,0.950,0.050
WELLSTON ES,LINCOLN,WELLSTON,Public,40,0.950,0.000
WOODLANDS ES,KAY,PONCA CITY,Public,40,0.950,0.075

