id,County,District,Type,Kindergarteners_with_Vaccination,value,exempt
St. Charles Borromeo Catholic School,Oklahoma,Occsaa,Private,18,0.83,0
Stone Ridge ES,Canadian,Piedmont,Public,115,0.83,0.01
Skelly ES,Tulsa,Tulsa,Public,108,0.83,0
Dewar ES,Okmulgee,Dewar,Public,34,0.82,0.03
ClegernES,Oklahoma,Edmond,Public,44,0.82,0.05
Felt ES,Cimarron,Felt,Public,11,0.82,0
Cotteral ES,Logan,Guthrie,Public,212,0.82,0.02
Kiefer ES,Creek,Kiefer,Public,71,0.82,0.04
Edison ES (Comanche County),Comanche,Lawton,Public,78,0.82,0
Kingsgate ES,Cleveland,Moore,Public,65,0.82,0.03
Moseley Public School,Delaware,Moseley,Public,22,0.82,0.05
Lee ES (Oklahoma County),Oklahoma,Oklahoma City,Public,76,0.82,0
Ralph Downs ES,Oklahoma,Putnam City,Public,65,0.82,0.02
Ryal Public School,McIntosh,Ryal,Public,11,0.82,0
Hoover ES (Tulsa County),Tulsa,Tulsa,Public,60,0.82,0.03
Robertson ES,Tulsa,Tulsa,Public,61,0.82,0
Yale ES,Payne,Yale,Public,28,0.82,0.07
Sunset ES (Caddo County),Caddo,Anadarko,Public,126,0.81,0
Binger-Oney ES,Caddo,Binger-Oney,Public,26,0.81,0
Erick ES,Beckham,Erick,Public,27,0.81,0.04
Fargo ES,Ellis,Fargo,Public,16,0.81,0
Gilmour ES,Kingfisher,Kingfisher,Public,107,0.81,0.01
Tinker ES,Oklahoma,Midwest City-Del City,Public,91,0.81,0.03
Oologah-Talala Lower ES,Rogers,Oologah-Talala,Public,131,0.81,0.08
Shady Point Public School,Le Flore,Shady Point,Public,21,0.81,0
Sterling ES,Comanche,Sterling,Public,26,0.81,0.08
Academy Central ES,Tulsa,Tulsa,Public,62,0.81,0.02
Peters ES,Tulsa,Union,Public,72,0.81,0.03
"Special Care, Inc.",Oklahoma,AdvancED,Private,20,0.8,0.05
Northern Hills ES,Oklahoma,Edmond,Public,114,0.8,0.1
Lincoln Christian School,Tulsa,"ICAA, AdvancED",Private,51,0.8,0.12
Pat Henry ES,Comanche,Lawton,Public,87,0.8,0
First Lutheran School,Kay,NLSA,Private,20,0.8,0.05
Jones ES (Tulsa County),Tulsa,Tulsa,Public,41,0.8,0
Macarthur ES,Tulsa,Tulsa,Public,54,0.8,0.02
Patrick Henry ES,Tulsa,Tulsa,Public,65,0.8,0.06
